"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"57886","0.000000","209.395897","-1250.000000","0.000000","-0.340008"
"57896","0.000000","208.924012","-1250.000000","0.000000","0.105501"
"57906","0.000000","208.991660","625.000000","0.000000","0.030282"
"57916","0.000000","209.049161","-0.000000","0.000000","-0.021775"
"57926","0.000000","209.098037","-0.000000","0.000000","-0.056520"
"57936","0.000000","208.905207","-312.500000","0.000000","0.109048"
"57946","0.000000","208.741301","-312.500000","0.000000","0.218363"
"57956","0.000000","208.601980","0.000000","0.000000","0.286147"
"57966","0.000000","208.483558","0.000000","0.000000","0.323655"
"57976","0.000000","207.914150","-625.000000","0.000000","0.714451"
"57986","0.000000","207.430152","0.000000","0.000000","0.958759"
"57996","0.000000","207.018754","0.000000","0.000000","1.096125"
"58006","0.000000","207.137816","625.000000","0.000000","0.781651"
"58016","0.000000","207.239019","625.000000","0.000000","0.544359"
"58026","0.000000","207.325041","0.000000","0.000000","0.366669"
"58036","0.000000","207.398160","0.000000","0.000000","0.234840"
"58046","0.000000","207.929061","625.000000","0.000000","-0.236849"
"58056","0.000000","207.911577","-1250.000000","0.000000","-0.175492"
"58066","0.000000","207.896715","-1250.000000","0.000000","-0.128504"
"58076","0.000000","207.884083","0.000000","0.000000","-0.092697"
"58086","0.000000","207.873345","0.000000","0.000000","-0.065568"
"58096","0.000000","208.098594","312.500000","0.000000","-0.232653"
"58106","0.000000","208.290055","312.500000","0.000000","-0.339291"
"58116","0.000000","207.984046","-625.000000","0.000000","-0.026626"
"58126","0.000000","207.723939","-625.000000","0.000000","0.186784"
"58136","0.000000","207.971599","625.000000","0.000000","-0.048700"
"58146","0.000000","208.182109","625.000000","0.000000","-0.207368"
"58156","0.000000","207.423542","-1250.000000","0.000000","0.440959"
"58166","0.000000","207.013136","625.000000","0.000000","0.681092"
"58176","0.000000","206.664291","625.000000","0.000000","0.823950"
"58186","0.000000","206.367772","0.000000","0.000000","0.896375"
"58196","0.000000","206.115731","0.000000","0.000000","0.918733"
"58206","0.000000","205.432747","-625.000000","0.000000","1.281374"
"58216","0.000000","204.852210","-625.000000","0.000000","1.489529"
"58226","0.000000","204.593128","312.500000","0.000000","1.398888"
"58236","0.000000","204.372909","0.000000","0.000000","1.295286"
"58246","0.000000","204.185723","0.000000","0.000000","1.185978"
"58256","0.000000","204.260989","312.500000","0.000000","0.888569"
"58266","0.000000","204.324966","312.500000","0.000000","0.659674"
"58276","0.000000","204.613721","312.500000","0.000000","0.296735"
"58286","0.000000","204.859163","312.500000","0.000000","0.041034"
"58296","0.000000","205.302163","312.500000","0.000000","-0.321573"
"58306","0.000000","205.209964","-1250.000000","0.000000","-0.183499"
"58316","0.000000","205.131594","-1250.000000","0.000000","-0.084103"
"58326","0.000000","205.064980","0.000000","0.000000","-0.013991"
"58336","0.000000","205.008358","0.000000","0.000000","0.034105"
"58346","0.000000","204.960229","0.000000","0.000000","0.065787"
"58356","0.000000","204.919320","0.000000","0.000000","0.085357"
"58366","0.000000","204.884547","0.000000","0.000000","0.096104"
"58376","0.000000","204.854990","0.000000","0.000000","0.100529"
"58386","0.000000","204.595491","-312.500000","0.000000","0.288022"
"58396","0.000000","204.374918","-312.500000","0.000000","0.406876"
"58406","0.000000","203.953055","-312.500000","0.000000","0.662991"
"58416","0.000000","203.360097","-625.000000","0.000000","1.004760"
